PCE,Dates
,1959_JAN
,1959_FEB
,1959_MAR
,1959_APR
,1959_MAY
,1959_JUN
,1959_JUL
,1959_AUG
,1959_SEP
,1959_OCT
,1959_NOV
0.140148276213958,1959_DEC
0.140551444045989,1960_JAN
0.139919366692798,1960_FEB
0.153654599616426,1960_MAR
0.157878435426184,1960_APR
0.137561386065155,1960_MAY
0.135130038916653,1960_JUN
0.137080300169212,1960_JUL
0.120148719928914,1960_AUG
0.109710843176636,1960_SEP
0.132582853451613,1960_OCT
0.12444178088884,1960_NOV
0.130908172781585,1960_DEC
0.129709151135637,1961_JAN
0.120055227167315,1961_FEB
0.0850736473244851,1961_MAR
0.0812614650540278,1961_APR
0.0812249885323801,1961_MAY
0.0842651323227361,1961_JUN
0.0772327593926647,1961_JUL
0.0819578357932116,1961_AUG
0.0718034136353518,1961_SEP
0.044063606464162,1961_OCT
0.0445846729582033,1961_NOV
0.058857926618372,1961_DEC
0.0735795124430005,1962_JAN
0.0894332736606218,1962_FEB
0.103699545195268,1962_MAR
0.104166085087298,1962_APR
0.105696244226028,1962_MAY
0.0828959954759734,1962_JUN
0.0880779631341921,1962_JUL
0.119379893955074,1962_AUG
0.111546549822927,1962_SEP
0.11676718207001,1962_OCT
0.111511345417226,1962_NOV
0.115995612925501,1962_DEC
0.102676072101815,1963_JAN
0.0848356918541127,1963_FEB
0.0748419845835846,1963_MAR
0.0831255518519702,1963_APR
0.0960665475880695,1963_MAY
0.117401296299935,1963_JUN
0.116714759031167,1963_JUL
0.0743192123635383,1963_AUG
0.0987121872456642,1963_SEP
0.104838952025643,1963_OCT
0.120351504396599,1963_NOV
0.117489154072326,1963_DEC
0.120446951623765,1964_JAN
0.132357223003909,1964_FEB
0.139036017968297,1964_MAR
0.126513117088334,1964_APR
0.120096798581693,1964_MAY
0.114236326782802,1964_JUN
0.108973198327744,1964_JUL
0.123291592045693,1964_AUG
0.112355187169944,1964_SEP
0.112196316688729,1964_OCT
0.112031017109038,1964_NOV
0.103676166205502,1964_DEC
0.0954128488040995,1965_JAN
0.100932545505161,1965_FEB
0.107947769417427,1965_MAR
0.125631460546982,1965_APR
0.138057380644274,1965_MAY
0.133352044238966,1965_JUN
0.129230018034376,1965_JUL
0.120488280384023,1965_AUG
0.11790171682835,1965_SEP
0.120247209073154,1965_OCT
0.138097534285131,1965_NOV
0.138946620231484,1965_DEC
0.169797908669156,1966_JAN
0.179519395992367,1966_FEB
0.195089797768389,1966_MAR
0.18675284701577,1966_APR
0.183259657671941,1966_MAY
0.193468291293475,1966_JUN
0.223383779765629,1966_JUL
0.245795838276863,1966_AUG
0.265253196896564,1966_SEP
0.263351897668729,1966_OCT
0.250763240270691,1966_NOV
0.241240352651562,1966_DEC
0.21651808745371,1967_JAN
0.200494384889272,1967_FEB
0.185788550024268,1967_MAR
0.191358532184371,1967_APR
0.197151290955122,1967_MAY
0.209260110871234,1967_JUN
0.203208920628195,1967_JUL
0.202096771442872,1967_AUG
0.203474699566364,1967_SEP
0.218843457158369,1967_OCT
0.214604039198973,1967_NOV
0.252856489044007,1967_DEC
0.277019738641138,1968_JAN
0.299847901312611,1968_FEB
0.311964161583034,1968_MAR
0.326741399510455,1968_APR
0.327114336174561,1968_MAY
0.32417590968441,1968_JUN
0.332402757377537,1968_JUL
0.336003666840345,1968_AUG
0.349256576306356,1968_SEP
0.349949576201136,1968_OCT
0.353949775653128,1968_NOV
0.347818380363019,1968_DEC
0.335159418339015,1969_JAN
0.347130472869717,1969_FEB
0.357705615459603,1969_MAR
0.360429148234331,1969_APR
0.373941337075046,1969_MAY
0.385201973901506,1969_JUN
0.373981342352536,1969_JUL
0.37973487429972,1969_AUG
0.371555384708411,1969_SEP
0.379470459141018,1969_OCT
0.400395160708134,1969_NOV
0.39757326022265,1969_DEC
0.409498674769315,1970_JAN
0.390911689019902,1970_FEB
0.396491962051182,1970_MAR
0.389411986405985,1970_APR
0.370616893884934,1970_MAY
0.36437667882061,1970_JUN
0.363398698534279,1970_JUL
0.366121135082809,1970_AUG
0.379115124866924,1970_SEP
0.375847348089531,1970_OCT
0.374583255892325,1970_NOV
0.362537385862405,1970_DEC
0.353716755182565,1971_JAN
0.360669721524665,1971_FEB
0.351114469945957,1971_MAR
0.35940356709534,1971_APR
0.374733188701581,1971_MAY
0.369353664598937,1971_JUN
0.371631571702857,1971_JUL
0.346685652122791,1971_AUG
0.318120320657833,1971_SEP
0.30246912295917,1971_OCT
0.298362771897098,1971_NOV
0.314860116169169,1971_DEC
0.323475614874269,1972_JAN
0.307803130891893,1972_FEB
0.287680352915154,1972_MAR
0.2715472566722,1972_APR
0.247189456258234,1972_MAY
0.251947237013184,1972_JUN
